アイスランド・ブルー,#b6d1e1
アイル・トーン・ブルー,#a9dbe0
アウタースペース・ブルー,#252e57
アカデミー・ブルー,#428abd
アカプルコ,#00627c
アカプルコ・ブルー,#25799e
アクア,#50c2dc
アクア・グレイ,#61a6c6
アクア・スプレイ,#52b3af
アクア・ティント,#c5e7eb
アクア・マリン,#327585
アクエリアス,#80aeb7
アザー・ブルー,#59b5d1
アジュール・ブルー,#009bcc
アドニス・ブルー,#00678e
アトランティコ・ブルー,#00aad6
アドリアティック・ブルー,#009ec3
アフロダイティ,#90cfcb
アミーゴ・ブルー,#3b91c4
アラベスク・ターク,#00869f
アルカーディア,#71c5c6
アルノ・ブルー,#3c8490
アルパイン・ブルー,#a5cee7
イージアン・ブルー,#4f95c5
インク・ブルー,#002752
インディゴ,#0a0a2d
インディペンデンス・ネイビー,#001a50
ウィンター・スカイ,#5c728a
ウィンター・ブルー,#325e9a
ウェストミンスター,#121144
ウェッジウッド,#5a8cb3
ウェッジウッド・ブルー,#505b8c
ヴェニット,#389192
ヴェネツィア,#93baba
ヴェローナ,#53adb2
ヴォルテール,#c6d3e2
ウルトラマリン,#2d3289
エアウェイ・ブルー,#428abd
エイプリル・ミスト,#88b6c9
エール,#d0e4ec
エコウ・ブルー,#969bb7
エコー,#88aeba
エジプシアン・ブルー,#006785
エナメル・ブルー,#00375f
エンジェル・ブルー,#c5dae7
オーシャン,#004d70
オーシャン・サーフ,#2d91ae
オータム・アズァ,#144384
オールド・チャイナ,#335062
オールド・ブルー,#66959d
オフェリア,#7ac7be
オメガ・ブルー,#00517d
オラージュ,#5d7883
オリオン・ブルー,#50c2dc
オリンピック,#00a4c4
ガーター・ブルー,#00538d
カイロ,#004871
カディス・ブルー,#136296
カリブ,#0e396a
カリフォルニー,#005980
キャンパス・ブルー,#4782b7
クラウド・ブルー,#5a728f
クリアー・スカイ,#1886a2
クレオパトラ,#00a0b8
ゲーテ,#003b73
ケンブリッジ・ブルー,#54b6be
コート・ダジュール,#004777
コーフ・ブルー,#2b738c
コーラル・リーフ,#00748a
コーンフラワー・ブルー,#3f4d92
コスミック,#0070a3
コバルト・ブルー,#1581c5
コペンハーゲン,#65c8de
コメット・ブルー,#15addc
コロー・グレイ,#397181
ゴロワーズ,#45a3d1
サイアン・ブルー,#5dbbb8
サザン・クロス,#7fb0d2
サックス・ブルー,#2b7fa1
サニー・シー・ブルー,#00a8c7
サファイア・ブルー,#004d6a
サラテリ・ブルー,#4b6f89
サルビア・ブルー,#6e7aac
シアン,#00aeda
ジェイ・ブルー,#30678d
シャガール・ブラウ,#006a9c
シャドウ・ブルー,#15485f
シャレイ・ブルー,#23a6d6
ジャンスィャン,#39286e
ジュピター・ブルー,#1289a4
シュプリーム,#004b8b
シレスティアル・ブルー,#496f8e
シンフォニー・ブルー,#0085de
スカイ・ブルー,#8bafdb
スクワル,#6f96a6
ストレイタ・ブルー,#8795aa
スパルタ・ブルー,#0085af
スポーティング・ブルー,#20597c
スマトラ,#005078
スマルト,#3a4789
スモーキィ・アクア,#508e9e
スモーク・ブルー,#8c9bad
スレート・ブルー,#5e7186
セイラー・ブルー,#027bb4
ゼニスブルー,#999db9
ゼファ・ブルー,#81a5cd
セルリアン・ブルー,#0081a9
セレスティアル・ブルー,#889faf
セレスト,#73aed5
ゼンスブルー,#7593b1
ダーク・ネイビー,#00243d
ターコイズ,#0097a2
ターコイズ・タイル,#0096a9
ダック・ブルー,#006784
ダボス・ブルー,#005381
チャイナ・シー,#14a4ba
チョーク・ブルー,#7b9fc9
チン,#00929b
ティモール・ブルー,#062240
テムズ・リバー,#8bb4ca
デルファイァ・ブルー,#4387bb
デルフト・ブルー,#002d64
デレクタブル,#00aac9
トゥアレグ,#002f44
ドラゴン・フライ,#348baa
ドラジェ・ブルー,#98c8e1
トリトン,#005668
ドルフィン・ブルー,#26747b
トレイド・ウィンド,#009bcc
トロー,#6db1a3
トロピック・アイル・ブルー,#00a5c6
トワイライト・スカイ,#889cba
トン,#33b5ba
ナイル・ブルー,#418c8c
ナポリ,#00a1c4
ナポレオン・ブルー,#002132
ネイヴィブルー,#001d3a
ネイビー,#002a5a
ネイビー・ブルー,#190535
ネルソン・ブルー,#005b8f
ノース・シー,#393b3e
ノクターン,#191c32
バーミ・エアー,#b4d0e7
パール・ブルー,#c4deea
バイキング・ブルー,#005882
バイス,#427596
ハイドレンジア・ブルー,#325e9a
パウダー・アクア,#ecf4eb
パウダー・ブルー,#e6f6fc
パステル・ブルー,#70ceef
バハマ・シー,#007888
バミューダ,#263275
バラード・ブルー,#6c7ca8
バルナス,#00245f
バルビゾン・ブルー,#002f4b
パルマ,#0f114a
パロット・フィッシュ,#0098b6
バンビーノ,#7db0d6
ピーキング・ブルー,#004264
ピーコック・ブルー,#00607d
ファイアーンス,#005c70
ファウンテン・ブルー,#8599c3
フィルン,#bad7de
フェルメール,#0084b9
フォーゲット・ミー・ノット,#66b7d8
ブライト・シー,#00afc6
ブライト・スカイ・ブルー,#008eb1
ブライト・ボルティック,#0389aa
ブライトン・ブルー,#0e1847
フランス,#101048
ブルー・アシュ,#c1c8ca
ブルー・カナール,#00616f
ブルー・シェル,#3a9bc0
ブルー・ドナウ,#008dac
ブルー・フランス,#004f90
ブルー・ベリー,#303b5b
ブルー・ミスト,#d3dadd
ブルー・ワルツ,#bbdfd8
ブルーエット,#5782a1
プルシアン・ブルー,#392c87
フレスコ・ブルー,#98d7e3
ブロイスィッシュ・ブラウ,#003067
フローレンス・ブルー,#217d8c
ペール・アクア,#d1eae8
ペール・ラベンダー,#cedbec
ベビー・ブルー,#cbecf6
ベルサイユ,#7da8ab
ヘルシンキ,#72c5c1
ベルフラワー,#443e7e
ヘレニック・ブルー,#0a1d49
ペロー,#00a9d3
ベンゴール・ブルー,#24104c
ポースリン・ブルー,#5e94a5
ボッティチェリ,#7fcbcf
ホライズン・ブルー,#addad3
ホリゾン・ブルー,#b0e2f6
ホルテンジア,#769cc1
ポンパドール,#4c6d9b
マーメイド・ブルー,#a7dce4
マジョリカ・ブルー,#006495
マゼラン・ブルー,#00316b
マラソン,#004264
マリン・ブルー,#1847aa
マルコ・ポーロ,#005c75
マンチュー・ダック,#005566
ミッドナイト・ブルー,#1a1f47
ミノアン・ブルー,#004b58
ミノルカ・ブルー,#006495
ミヨゾティ,#5cc9ed
ミラニーズ・ブルー,#2b385f
ミント・ブルー,#00afc6
ムーンシャイン・ブルー,#3598c9
ムーンライト・ブルー,#a3aabe
メディシ・ブルー,#008fb7
モーニング・グローリィ,#007299
モネ・ブルー,#5c5890
ユニオン・ジャック・ブルー,#405682
ヨット・ブルー,#008cc0
ライト・アリス・ブルー,#26a3d3
ライト・ラベンダー,#b5cae2
ラシャ,#003740
ラピスラズリ,#00447a
ラブ・インナ・ミスト,#73b8c4
ラファエロ・ブルー,#4a6092
ラベンダー・ブルー,#4f74aa
ララバイ・ブルー,#75b4c0
リオ・ブルー,#0079a6
ルクソール,#003d7c
ルネッサンス・ブルー,#0f1045
レイク・コモ,#00668f
レイク・ネス,#2f4c56
レガッタ・ブルー,#1e54bf
レバノン・ブラウ,#006495
ロイヤル・ブルー,#004e8a
ローモンド・ブルー,#65a2ac
ロンサール,#2064a0
ロンドン・トワイライト,#1a435b
ワトー,#67c7d9
